YEAR,STATE,ST_CASE,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,A_WRONGWAY,BIA,SPJ_INDIAN,INDIAN_RES,CENSUS_2020_TRACT_FIPS,TRACT
2020,1,10001,3,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,0,0,0,01051030701,1
2020,1,10002,1,1,4,2,2,1,2,4,2,4,1,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01073005103,1
2020,1,10003,1,1,4,1,2,4,1,4,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01117030103,1
2020,1,10004,1,1,4,1,2,4,2,6,2,1,1,1,1,13,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,0,0,0,01015002503,1
2020,1,10005,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01037961200,1
2020,1,10006,1,1,4,1,2,1,2,4,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01103005704,1
2020,1,10007,1,1,4,2,2,1,1,4,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01073010301,1
2020,1,10008,1,1,4,1,2,1,2,5,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,0,0,0,01025957601,1
2020,1,10009,1,1,4,1,2,1,2,5,3,2,2,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01045020100,1
2020,1,10010,1,1,4,1,2,1,2,3,2,3,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,0,0,0,01095030206,1
2020,1,10011,1,1,4,1,2,1,1,3,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01079979100,1
