YEAR,STATE,ST_CASE,VEH_NO,A_WRONGWAYDRV,A_DRDIS,A_DRDRO,A_VRD,A_BODY,A_IMP1,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_FIRE_EXP
2020,1,10001,1,2,2,2,1,1,2,1,2,2,2,4,1,3,1997,1
2020,1,10002,1,2,2,2,2,1,3,2,2,2,2,4,2,3,1993,1
2020,1,10002,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2007,1
2020,1,10002,3,2,2,2,2,1,2,2,2,2,2,4,2,3,2004,1
2020,1,10002,4,2,2,2,2,1,2,2,1,1,2,4,2,3,2006,1
2020,1,10003,1,2,2,2,1,1,2,2,2,2,2,4,1,3,1995,1
2020,1,10003,2,2,2,2,2,6,3,2,1,1,1,4,2,3,2016,1
2020,1,10004,1,2,2,2,1,1,2,1,1,1,2,4,1,3,2007,1
2020,1,10005,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2013,1
2020,1,10006,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2005,1
2020,1,10006,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2014,1
2020,1,10007,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2014,1
2020,1,10008,1,2,2,2,2,2,2,2,1,1,2,4,1,3,1997,1
2020,1,10008,2,2,2,2,2,6,4,2,1,1,1,4,2,3,2007,1
2020,1,10009,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2001,1
2020,1,10009,2,2,2,2,2,2,4,2,1,1,2,4,2,3,2014,1
2020,1,10010,1,1,2,2,2,2,2,2,1,1,2,4,2,3,1998,1
2020,1,10010,2,2,2,2,2,4,2,2,1,1,2,4,2,3,2001,2
2020,1,10011,1,2,2,2,2,1,5,2,1,1,2,4,2,3,2013,1
2020,1,10011,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2017,1
2020,1,10012,1,2,2,2,2,6,2,2,1,1,2,4,2,3,2018,1
2020,1,10012,2,2,2,2,2,2,5,2,2,2,2,4,2,3,2001,1
2020,1,10013,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2011,1
2020,1,10014,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2002,1
2020,1,10015,1,2,2,2,2,2,2,2,3,3,3,4,2,3,2003,1
2020,1,10016,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1998,1
2020,1,10016,2,2,2,2,2,4,2,2,1,1,2,4,2,3,2006,1
2020,1,10017,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2011,1
2020,1,10017,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2006,1
2020,1,10018,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2000,1
2020,1,10018,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2007,1
2020,1,10019,1,2,2,2,1,1,1,2,1,1,2,4,2,3,2012,1
2020,1,10020,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2001,1
2020,1,10021,1,2,2,2,1,3,3,2,1,1,2,4,1,3,2010,1
2020,1,10021,2,2,2,2,2,8,2,2,1,1,1,4,2,1,2005,1
2020,1,10022,1,2,2,2,1,6,1,1,1,1,1,4,2,3,2015,1
2020,1,10023,1,2,2,2,1,2,2,2,1,1,2,4,2,3,1995,1
2020,1,10024,1,2,2,2,2,1,3,2,1,1,2,4,2,3,2001,1
2020,1,10024,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2019,1
2020,1,10025,1,2,2,2,1,3,2,2,2,2,2,4,1,3,2013,2
2020,1,10026,1,2,2,2,1,2,1,2,1,1,2,4,1,3,2000,1
2020,1,10026,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2019,1
2020,1,10027,1,2,2,2,1,3,2,2,1,1,2,4,1,3,2003,1
2020,1,10028,1,2,2,2,1,1,3,2,1,1,2,4,2,3,2004,1
2020,1,10029,1,2,2,2,2,6,2,2,1,1,1,4,2,3,2020,1
2020,1,10030,1,2,2,2,2,1,2,2,1,1,2,4,1,3,1997,1
2020,1,10030,2,2,2,2,2,3,4,1,1,1,2,4,2,3,1994,1
2020,1,10031,1,2,1,2,2,1,2,2,1,1,2,4,1,3,2017,1
2020,1,10031,2,2,2,2,2,1,4,2,2,2,2,4,2,3,2008,1
2020,1,10031,3,2,2,2,2,6,4,2,1,1,1,4,2,3,2020,1
2020,1,10032,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2007,1
2020,1,10033,1,2,2,2,1,3,1,1,1,1,1,4,2,3,2005,1
2020,1,10034,1,2,2,2,2,3,2,1,2,2,2,4,1,3,2013,1
2020,1,10034,2,2,2,2,2,1,4,1,1,1,2,4,2,3,2011,1
2020,1,10034,3,2,2,2,2,3,4,2,1,1,2,4,2,3,2011,1
2020,1,10035,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2013,1
2020,1,10036,1,2,2,2,1,1,5,2,1,1,2,4,1,3,2003,1
2020,1,10037,1,2,2,2,2,3,2,2,1,1,2,4,1,3,2019,1
2020,1,10037,2,2,2,2,2,6,4,2,1,1,1,4,2,3,2019,1
2020,1,10038,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2019,1
2020,1,10039,1,2,2,2,1,1,3,1,1,1,2,4,1,3,2005,2
2020,1,10040,1,2,1,2,1,2,2,2,2,2,2,4,2,3,2004,1
2020,1,10040,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2014,1
2020,1,10041,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2016,1
2020,1,10042,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2017,1
2020,1,10043,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2005,1
2020,1,10043,2,2,2,2,2,3,2,2,1,1,2,4,2,3,1999,1
2020,1,10044,1,2,1,2,1,3,2,2,1,1,2,4,2,3,2002,1
2020,1,10045,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2017,1
2020,1,10045,2,2,2,2,2,1,2,2,2,2,2,4,2,3,2000,1
2020,1,10045,3,2,2,2,2,1,5,2,2,2,2,4,2,3,2010,1
2020,1,10046,1,2,2,2,2,1,3,2,1,1,2,4,2,3,2008,1
2020,1,10046,2,2,2,2,2,8,2,2,1,1,1,4,2,1,2018,1
2020,1,10047,1,2,2,2,2,6,2,2,1,1,2,4,1,3,2005,1
2020,1,10047,2,2,2,2,2,3,2,1,1,1,2,4,2,3,2011,1
2020,1,10048,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2005,1
2020,1,10048,2,2,2,2,2,1,2,2,1,1,2,4,2,3,1999,1
2020,1,10048,3,2,2,2,2,3,2,2,1,1,2,4,2,3,2005,1
2020,1,10049,1,2,2,2,2,1,2,2,1,1,2,4,1,3,2019,1
2020,1,10049,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2019,1
