Make,Model,Year,Drive Train,Kerb Weight,Car Height,Car Length,Car Width
AUDI,A6 SPORTBACK E-TRON,2027,AWD,2350,1420,4960,1960
AUDI,A6 SPORTBACK E-TRON,2027,RWD,2150,1440,4960,1960
AUDI,Q6 E-TRON,2027,AWD,2350,1648,4771,1939
AUDI,Q6 E-TRON,2027,RWD,2200,1645,4771,1939
AUDI,Q6 SPORTBACK E-TRON,2027,AWD,2400,1608,4771,1938
AUDI,S6 SPORTBACK E-TRON,2027,AWD,2350,1430,4980,1960
AUDI,SQ6 E-TRON,2027,AWD,2480,1645,4780,1945
AUDI,SQ6 SPORTBACK E-TRON,2027,AWD,2400,1630,4771,1938
ACURA,ADX,2026,AWD,1650,1630,4550,1860
ACURA,ADX,2026,FWD,1600,1650,4600,1870
ACURA,INTEGRA,2026,FWD,1430,1410,4725,1830
ACURA,INTEGRA TYPE-S,2026,FWD,1435,1415,4725,1865
ACURA,MDX,2026,AWD,2060,1705,5040,2000
ACURA,MDX,2026,FWD,1920,1705,5040,2000
ACURA,RDX,2026,AWD,1805,1680,4750,1900
ACURA,RDX,2026,FWD,1755,1675,4760,1910
ALFA,GIULIA,2026,AWD,1720,1445,4660,1875
ALFA,GIULIA,2026,RWD,1650,1445,4675,1875
ALFA,STELVIO,2026,AWD,1890,1675,4690,1905
ALFA,TONALE,2026,AWD,1850,1605,4528,1835
AUDI,A3,2026,AWD,1540,1420,4510,1820
AUDI,A3,2026,FWD,1380,1435,4360,1820
AUDI,A5,2026,AWD,1720,1405,4775,1850
AUDI,A5,2026,FWD,1560,1405,4780,1850
AUDI,A6 ALLROAD,2026,AWD,2050,1505,4970,1905
AUDI,A6 SEDAN,2026,AWD,1920,1460,4965,1890
AUDI,A8,2026,AWD,2120,1475,5330,1950
AUDI,Q3,2026,AWD,1780,1620,4500,1855
AUDI,Q4 E-TRON,2026,AWD,2150,1630,4590,1865
AUDI,Q4 E-TRON,2026,RWD,2100,1630,4590,1870
AUDI,Q4 SPORTBACK E-TRON,2026,AWD,2225,1614,4588,1865
AUDI,Q5,2026,AWD,1920,1665,4720,1900
