make,model,car_year,drive_train,curb_weight,car_height,car_width,car_length
ACURA,ADX,2025,AWD,1840,1680,1900,4740
ACURA,ADX,2025,FWD,1650,1630,1870,4580
ACURA,ADX,2026,AWD,1650,1630,1860,4550
ACURA,ADX,2026,FWD,1600,1650,1870,4600
ACURA,CL,2003,NA,1572,1399,1788,4851
ACURA,ILX,2013,FWD,1300,1400,1791,4547
ACURA,ILX,2014,FWD,1301,1410,1794,4555
ACURA,ILX,2016,FWD,1328,1412,1794,4610
ACURA,ILX,2017,FWD,1414,1415,1793,4620
ACURA,ILX,2018,FWD,1345,1400,1793,4620
ACURA,ILX,2019,FWD,1345,1412,1796,4620
ACURA,ILX,2021,FWD,1409,1412,1793,4628
ACURA,ILX,2022,FWD,1365,1412,1793,4625
ACURA,INTEGRA,1991,NA,1180,1326,1695,4390
ACURA,INTEGRA,1995,NA,1150,1300,1700,4380
ACURA,INTEGRA,1996,NA,1229,1300,1700,4384
ACURA,INTEGRA,2023,FWD,1395,1410,1829,4719
ACURA,INTEGRA,2024,FWD,1396,1410,1829,4760
ACURA,INTEGRA,2025,FWD,1396,1410,1826,4760
ACURA,INTEGRA,2026,FWD,1430,1410,1830,4725
ACURA,INTEGRA TYPE-S,2024,FWD,1457,1407,1900,4724
ACURA,INTEGRA TYPE-S,2025,FWD,1460,1407,1849,4760
ACURA,INTEGRA TYPE-S,2026,FWD,1435,1415,1865,4725
ACURA,LEGEND,1994,NA,1570,1401,1811,4948
ACURA,MDX,2002,AWD,2030,1735,1956,4793
ACURA,MDX,2003,AWD,2010,1735,1956,4793
ACURA,MDX,2004,AWD,2031,1760,1956,4729
ACURA,MDX,2005,AWD,2021,1760,1956,4793
ACURA,MDX,2006,AWD,2040,1735,1956,4839
ACURA,MDX,2007,AWD,2068,1735,1956,4806
ACURA,MDX,2008,AWD,2043,1735,1994,4844
ACURA,MDX,2009,AWD,2068,1735,1994,4839
ACURA,MDX,2010,AWD,2100,1732,1961,4844
ACURA,MDX,2011,AWD,2064,1732,1994,4844
ACURA,MDX,2012,4WD,2070,1732,1994,4867
ACURA,MDX,2013,4WD,2070,1733,1961,4917
ACURA,MDX,2014,AWD,1934,1717,1961,4917
ACURA,MDX,2015,AWD,1950,1717,1963,4935
ACURA,MDX,2016,AWD,1965,1730,1960,4935
ACURA,MDX,2017,AWD,1970,1717,1961,4935
ACURA,MDX,2018,AWD,1939,1712,1961,4983
ACURA,MDX,2019,AWD,1906,1712,1961,4983
ACURA,MDX,2020,AWD,1979,1717,1963,4983
ACURA,MDX,2022,AWD,2043,1704,1999,5039
ACURA,MDX,2022,FWD,0,0,0,0
ACURA,MDX,2023,AWD,2043,1704,2000,5039
ACURA,MDX,2023,FWD,2013,1704,1999,5039
ACURA,MDX,2024,AWD,2043,1704,2000,5039
ACURA,MDX,2024,FWD,1940,1704,1999,5039
ACURA,MDX,2025,AWD,1996,1704,1999,5039
ACURA,MDX,2025,FWD,1950,1704,1996,4983
ACURA,MDX,2026,AWD,2060,1705,2000,5040
ACURA,MDX,2026,FWD,1920,1705,2000,5040
ACURA,NSX,2021,AWD,1775,1214,1938,4506
ACURA,NSX,2022,AWD,1759,1214,1938,4470
ACURA,RDX,2007,AWD,1726,1655,1870,4570
ACURA,RDX,2008,AWD,1779,1656,1869,4590
ACURA,RDX,2010,AWD,1787,1656,1872,4676
ACURA,RDX,2011,AWD,1756,1653,1872,4658
ACURA,RDX,2013,4WD,1708,1656,1872,4636
ACURA,RDX,2014,AWD,1753,1651,1872,4661
ACURA,RDX,2015,AWD,1720,1651,1872,4661
ACURA,RDX,2016,AWD,1790,1676,1872,4684
ACURA,RDX,2017,AWD,1790,1679,1872,4684
ACURA,RDX,2019,AWD,1819,1669,1900,4749
ACURA,RDX,2020,AWD,1821,1669,1900,4747
ACURA,RDX,2021,AWD,1827,1679,1900,4747
ACURA,RDX,2021,FWD,1716,1669,1900,4742
ACURA,RDX,2022,AWD,1802,1669,1900,4760
ACURA,RDX,2022,FWD,1779,1669,1900,4742
ACURA,RDX,2023,AWD,1814,1669,1900,4742
ACURA,RDX,2023,FWD,1776,1669,1900,4740
ACURA,RDX,2024,AWD,1858,1669,1900,4760
ACURA,RDX,2024,FWD,1787,1669,1900,4760
ACURA,RDX,2025,AWD,1850,1679,1900,4747
ACURA,RDX,2025,FWD,1765,1669,1900,4760
ACURA,RDX,2026,AWD,1805,1680,1900,4750
ACURA,RDX,2026,FWD,1755,1675,1910,4760
ACURA,RL,1999,NA,1665,1433,1811,4948
ACURA,RL,2000,NA,1656,1435,1811,4955
ACURA,RL,2001,NA,1718,1425,1786,4996
ACURA,RL,2002,NA,1718,1435,1811,4955
ACURA,RL,2004,NA,1753,1440,1811,4989
ACURA,RL,2005,NA,1825,1450,1845,4983
ACURA,RL,2008,AWD,1848,1450,1844,4983
ACURA,RLX,2017,FWD,1813,1466,1890,4981
ACURA,RSX,2002,NA,1216,1390,1725,4374
ACURA,RSX,2003,NA,1286,1389,1725,4374
ACURA,RSX,2004,NA,1257,1400,1725,4374
ACURA,RSX,2005,NA,1235,1395,1725,4370
ACURA,RSX,2006,FWD,1256,1395,1725,4370
ACURA,TL,1997,NA,1514,1410,1786,4831
ACURA,TL,1998,NA,1529,1400,1786,4836
ACURA,TL,2001,NA,1572,1430,1810,4830
ACURA,TL,2002,NA,1613,1440,1786,4874
ACURA,TL,2003,NA,1605,1425,1786,4900
ACURA,TL,2004,NA,1589,1435,1810,4760
ACURA,TL,2005,NA,1614,1445,1821,4760
ACURA,TL,2006,FWD,1614,1440,1834,4729
ACURA,TL,2007,FWD,1614,1440,1834,4730
