st_case,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour
10001,3,4,42,0,2,3
10002,1,6,12,6,17,17
10003,1,2,34,0,14,15
10004,1,5,42,0,15,
10005,1,1,42,0,0,0
10006,1,3,12,2,16,17
10007,1,1,8,0,19,19
10008,1,2,12,1,7,7
10009,1,4,12,1,20,20
10010,1,3,12,2,10,10
10011,1,3,12,6,16,
10012,1,2,12,6,21,21
10013,1,1,8,0,22,22
10014,1,1,34,0,12,12
10015,1,1,9,0,17,18
10016,1,3,12,2,19,19
10017,1,2,8,0,21,21
10018,1,4,12,2,17,17
10019,1,1,3,0,1,
10020,1,1,42,0,16,16
10021,1,2,12,6,6,6
10022,1,2,1,0,14,14
10023,1,1,42,0,1,8
10024,1,2,12,6,16,16
10025,1,1,42,0,14,
10026,1,3,51,0,15,15
10027,1,2,52,0,0,1
10028,1,3,42,0,11,11
10029,1,1,8,0,17,17
10030,2,3,12,1,3,4
10031,1,4,12,1,18,18
10032,1,2,14,0,10,10
10033,1,2,1,0,12,13
10034,1,4,12,1,19,19
10035,1,1,8,0,19,19
10036,1,1,42,0,0,
10037,1,3,12,1,8,9
10038,1,1,8,0,18,19
10039,1,2,34,0,1,2
10040,1,4,12,2,16,16
10041,1,2,8,0,23,23
10042,3,3,42,0,2,
10043,1,2,12,2,13,13
10044,1,2,9,0,14,14
10045,1,3,12,2,7,7
10046,1,2,12,6,13,13
10047,1,3,12,6,16,16
10048,1,3,12,2,16,16
10049,2,7,12,2,17,17
10050,1,2,52,0,0,0
10051,1,2,12,2,11,12
10052,1,1,42,0,14,14
10053,1,1,1,0,22,
10054,1,4,1,0,20,20
10055,1,3,12,6,14,15
10056,1,1,34,0,15,15
10057,1,1,35,0,23,23
10058,1,1,34,0,0,1
10059,1,1,32,0,11,11
10060,1,2,42,0,21,21
10061,1,1,30,0,23,23
10062,1,2,12,1,7,7
10063,1,3,12,6,17,18
10064,1,1,8,0,0,1
10065,1,1,8,0,18,18
10066,2,4,12,2,9,10
10067,2,4,12,2,11,11
10069,1,1,8,0,1,1
10070,2,7,12,2,12,12
10071,2,3,12,2,14,15
10072,2,2,12,6,17,17
10073,1,2,35,0,7,8
10074,1,1,42,0,17,18
10075,1,2,12,2,5,6
10076,1,2,12,6,14,14
10077,2,3,12,2,18,19
10078,1,4,12,6,17,17
10079,1,2,12,6,19,19
10080,1,3,12,2,19,19
10081,1,1,42,0,4,4
10082,1,1,34,0,3,
10083,1,1,42,0,7,7
10084,1,6,12,6,11,11
