st_case,state,year,month,day,day_week,hour,minute,county,city,fatals_crash,vehicles_total,vehicles_in_transport,persons_total,route,rural_urban,functional_system,road_owner,nhs,special_jurisdiction,milepoint,latitude,longitude,first_harmful_event,manner_collision,rel_jct_interchange,rel_jct_location,intersection_type,relation_to_road,work_zone,light_condition,weather,school_bus_related,ems_notified_hour,ems_notified_min,ems_arrival_hour,ems_arrival_min,hospital_hour,hospital_min
10001,1,2020,1,1,4,2,58,51,0,3,1,1,4,4,1,5,2,0,0,0,32.43313333,-86.09485,42,0,0,1,1,4,0,2,1,0,,,3,10,,
10002,1,2020,1,2,5,17,18,73,350,1,4,4,6,6,2,4,4,0,0,0,33.48465833,-86.83954444,12,6,0,1,1,1,0,3,2,0,17,18,17,26,,
10003,1,2020,1,2,5,14,55,117,0,1,2,2,2,3,1,4,1,0,0,49,33.29994167,-86.36964167,34,0,0,3,3,4,0,1,2,0,14,58,15,15,,
10004,1,2020,1,3,6,15,20,15,0,1,1,1,5,4,1,7,2,0,0,0,33.79507222,-85.88348611,42,0,0,1,1,4,0,1,10,0,,,,,,
10005,1,2020,1,4,7,0,45,37,0,1,1,1,1,4,1,5,2,0,0,0,32.84841389,-86.08354722,42,0,0,1,1,4,0,2,2,0,0,45,0,55,,
10006,1,2020,1,4,7,16,55,103,0,1,2,2,3,3,1,4,1,0,0,390,34.50894167,-86.67485556,12,2,0,1,1,1,0,2,1,0,17,0,17,19,18,51
10007,1,2020,1,7,3,19,23,73,330,1,1,1,1,4,2,4,4,0,0,0,33.3958,-86.94728889,8,0,0,3,2,1,0,3,1,0,19,23,19,29,,
10008,1,2020,1,8,4,7,15,25,0,1,2,2,2,4,1,5,2,0,0,0,31.95976111,-87.79064167,12,1,0,1,1,1,0,1,1,0,7,21,7,28,,
10009,1,2020,1,9,5,20,0,45,0,1,2,2,4,4,1,5,2,0,0,0,31.49026944,-85.73967778,12,1,0,8,1,1,0,2,10,0,20,0,20,10,,
10010,1,2020,1,10,6,10,2,95,1500,1,2,2,3,2,1,3,1,1,0,3019,34.42458333,-86.26212222,12,2,0,1,1,1,0,1,10,0,10,3,10,7,10,29
10011,1,2020,1,10,6,16,40,79,1640,1,2,2,3,3,1,3,1,1,0,575,34.64916111,-87.16822778,12,6,1,2,2,1,0,3,2,0,,,,,,
10012,1,2020,1,11,7,21,25,73,2052,1,2,2,2,3,2,3,1,1,0,1275,33.44936111,-86.92616389,12,6,0,2,2,1,0,3,1,0,21,26,21,27,,
10013,1,2020,1,13,2,22,51,125,3050,1,1,1,1,6,2,5,4,0,0,0,33.17551389,-87.45895278,8,0,0,1,1,1,0,2,10,0,22,51,22,56,,
10014,1,2020,1,13,2,12,45,53,0,1,1,1,1,3,1,3,1,1,0,762,31.19705556,-87.05590833,34,0,0,1,1,4,0,1,2,0,12,45,12,53,,
10015,1,2020,1,13,2,17,45,61,1990,1,1,1,1,3,1,4,1,0,0,537,31.14072222,-85.51620556,9,0,0,1,1,1,0,3,10,0,,,18,22,,
10016,1,2020,1,13,2,19,55,43,0,1,2,2,3,2,1,3,1,1,0,2827,34.26489722,-86.49575278,12,2,0,1,1,1,0,2,2,0,19,49,19,56,,
10017,1,2020,1,13,2,21,31,73,1710,1,2,2,2,2,2,3,1,1,0,2718,33.47931944,-86.78717778,8,0,0,3,4,1,0,3,1,0,21,31,21,35,,
10018,1,2020,1,14,3,17,30,43,0,1,2,2,4,2,1,4,1,0,0,3334,34.26724444,-86.88271389,12,2,0,1,1,1,0,2,10,0,17,33,17,43,18,19
10019,1,2020,1,14,3,1,30,113,2440,1,1,1,1,6,2,7,4,0,0,0,32.47470556,-84.99638333,3,0,0,1,1,5,0,3,2,0,,,,,,
10020,1,2020,1,15,4,16,40,73,0,1,1,1,1,4,2,5,2,0,0,0,33.51929722,-87.00559444,42,0,0,1,1,4,0,5,1,0,16,40,16,45,,
10021,1,2020,1,16,5,6,37,97,2100,1,2,2,2,2,2,3,1,1,0,272,30.68204167,-88.06745278,12,6,0,3,2,1,0,4,5,1,6,39,6,43,,
10022,1,2020,1,16,5,14,2,9,0,1,1,1,2,3,1,4,1,0,0,405,34.06766111,-86.56032222,1,0,0,1,1,1,0,1,1,0,14,6,14,23,15,22
10023,1,2020,1,17,6,1,0,93,0,1,1,1,1,4,1,5,2,0,0,0,34.05736944,-88.03118056,42,0,0,1,1,4,0,2,10,0,,,8,26,,
10024,1,2020,1,17,6,16,10,81,0,1,2,2,2,2,1,3,1,1,0,0,32.58445833,-85.17462778,12,6,0,2,2,1,0,1,1,0,16,13,16,25,,
10025,1,2020,1,17,6,14,15,77,0,1,1,1,1,4,1,5,2,0,0,0,34.94832778,-87.82361111,42,0,0,3,2,4,0,1,1,0,,,,,,
10026,1,2020,1,17,6,15,45,115,0,1,2,2,3,2,1,4,1,0,0,2288,33.72414167,-86.28841389,51,0,0,1,1,1,0,1,1,0,15,46,15,59,17,4
10027,1,2020,1,18,7,0,35,129,0,1,1,1,2,2,1,3,1,1,0,519,31.464,-88.03200278,52,0,0,1,1,3,0,2,1,0,,,1,2,,
10028,1,2020,1,17,6,11,9,73,350,1,1,1,3,1,2,1,1,1,0,2600,33.49608056,-86.81624444,42,0,0,1,1,4,0,1,1,0,11,9,11,18,,
10029,1,2020,1,12,1,17,37,97,0,1,1,1,1,1,2,1,1,1,0,105,30.53680833,-88.24033611,8,0,0,1,1,1,0,2,10,0,17,40,17,48,,
10030,1,2020,1,11,7,3,31,87,0,2,2,2,3,1,1,1,1,1,0,301,32.44026111,-85.83268889,12,1,0,1,1,1,0,2,10,0,4,11,4,12,4,48
10031,1,2020,2,17,2,18,30,115,0,1,3,3,4,1,2,1,1,1,0,1467,33.57496667,-86.48591111,12,1,0,1,1,1,0,2,10,0,18,30,18,42,,
10032,1,2020,2,17,2,10,40,73,0,1,2,1,2,1,2,1,1,1,0,2720,33.67416389,-86.82925278,14,0,0,1,1,2,0,1,10,0,10,40,10,47,,
10033,1,2020,2,14,6,12,55,3,0,1,1,1,2,1,1,1,1,1,0,405,30.97843056,-87.71637222,1,0,0,1,1,1,0,1,1,0,,,13,2,,
10034,1,2020,2,7,6,19,13,73,0,1,3,3,4,1,2,1,1,1,0,77,33.341675,-86.89884444,12,1,0,1,1,1,0,2,1,0,19,13,19,23,,
10035,1,2020,2,6,5,19,40,125,0,1,1,1,1,1,2,1,1,1,0,0,33.17127222,-87.54825833,8,0,1,18,1,1,0,3,1,0,19,45,19,50,,
10036,1,2020,2,5,4,0,35,3,0,1,1,1,1,1,1,1,1,1,0,352,30.95826111,-87.80111944,42,0,0,1,1,4,0,2,10,0,,,,,,
10037,1,2020,2,3,2,8,40,125,0,1,2,2,3,1,2,1,1,1,0,714,33.17029167,-87.55260278,12,1,1,18,1,1,0,1,1,0,,,9,10,,
