st_case,veh_no,per_no,person_type,inj_sev,seat_pos,rest_use,air_bag,ejection,doa,make,car_year,model,body_class,min_veh_weight,max_veh_weight,fatal,num_occupants,deaths_in_vehicle,vehicle_age,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour,drive_type_id,drive_train,overall_front_safetyrating,front_passenger_safetyrating,front_driver_safetyrating,rollover_risk,curb_weight,car_height,car_width,car_length
10002,1,1,1,3,11,20,20,0,0,CHEVROLET,1993,CORSICA,Sedan/Saloon,11,11,0,2,1,30,1,6,12,6,17,17,NA,NA,NA,3,5,0,1220,1349,1725,4775
10002,1,2,2,4,13,20,20,0,7,CHEVROLET,1993,CORSICA,Sedan/Saloon,11,11,1,2,1,30,1,6,12,6,17,17,NA,NA,NA,3,5,0,1220,1349,1725,4775
10002,3,1,1,0,11,3,20,0,0,FORD,2004,TAURUS,Sedan/Saloon,11,11,0,2,0,19,1,6,12,6,17,17,NA,NA,NA,5,4,0,1515,1407,1854,5080
10002,3,2,2,0,13,3,20,0,0,FORD,2004,TAURUS,Sedan/Saloon,11,11,0,2,0,19,1,6,12,6,17,17,NA,NA,NA,5,4,0,1515,1407,1854,5080
10003,1,1,1,4,11,20,1,1,0,TOYOTA,1995,CAMRY,Sedan/Saloon,11,11,1,1,1,28,1,2,34,0,14,15,NA,NA,NA,3,4,0,1350,1400,1775,4780
10006,1,1,1,4,11,20,1,0,7,FORD,2005,MUSTANG,Coupe,11,11,1,1,1,18,1,3,12,2,16,17,NA,NA,NA,5,5,0,1580,1410,1877,4775
10014,1,1,1,4,11,20,20,0,7,CHEVROLET,2002,CAMARO,Coupe,11,11,1,1,1,21,1,1,34,0,12,12,NA,NA,NA,5,4,0,1560,1303,1882,4923
10018,1,1,1,4,11,3,1,0,0,INFINITI,2000,I30,Sedan/Saloon,11,11,1,1,1,23,1,4,12,2,17,17,NA,NA,NA,4,4,0,1497,1425,1786,4920
10026,2,1,1,4,11,3,NA,0,7,CHEVROLET,2019,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,2,1,4,1,3,51,0,15,15,2,4WD,4,4,4,0.219,2520,1890,2045,5182
10026,2,2,2,2,13,3,NA,0,0,CHEVROLET,2019,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,2,1,4,1,3,51,0,15,15,2,4WD,4,4,4,0.219,2520,1890,2045,5182
